timestamp,symbol,action,price,quantity,source,response
2026-03-21T11:30:03.073810+00:00,BTC/USD,BUY,70609.99,0.01,Bot,"{""Success"": true, ""ErrMsg"": """", ""OrderDetail"": {""Pair"": ""BTC/USD"", ""OrderID"": 2785889, ""Status"": ""FILLED"", ""Role"": ""TAKER"", ""ServerTimeUsage"": 0.005617696, ""CreateTimestamp"": 1774092602551, ""FinishTimestamp"": 1774092602556, ""Side"": ""BUY"", ""Type"": ""MARKET"", ""StopType"": ""GTC"", ""Price"": 70610, ""Quantity"": 0.01, ""FilledQuantity"": 0.01, ""FilledAverPrice"": 70610, ""CoinChange"": 0.01, ""UnitChange"": 706.1, ""CommissionCoin"": ""USD"", ""CommissionChargeValue"": 0.7061, ""CommissionPercent"": 0.001, ""OrderWalletType"": ""SPOT"", ""OrderSource"": ""PUBLIC_API""}}"
2026-03-21T11:35:03.009055+00:00,BTC/USD,BUY,70602.85,0.01,Bot,"{""Success"": true, ""ErrMsg"": """", ""OrderDetail"": {""Pair"": ""BTC/USD"", ""OrderID"": 2785945, ""Status"": ""FILLED"", ""Role"": ""TAKER"", ""ServerTimeUsage"": 0.00464398, ""CreateTimestamp"": 1774092902501, ""FinishTimestamp"": 1774092902506, ""Side"": ""BUY"", ""Type"": ""MARKET"", ""StopType"": ""GTC"", ""Price"": 70602.86, ""Quantity"": 0.01, ""FilledQuantity"": 0.01, ""FilledAverPrice"": 70602.86, ""CoinChange"": 0.01, ""UnitChange"": 706.0286, ""CommissionCoin"": ""USD"", ""CommissionChargeValue"": 0.706028, ""CommissionPercent"": 0.001, ""OrderWalletType"": ""SPOT"", ""OrderSource"": ""PUBLIC_API""}}"
2026-03-21T11:57:06.084734+00:00,SOL/USD,BUY,89.94,23.0,Manual (MARKET),"{""Success"": true, ""ErrMsg"": """", ""OrderDetail"": {""Pair"": ""SOL/USD"", ""OrderID"": 2786141, ""Status"": ""FILLED"", ""Role"": ""TAKER"", ""ServerTimeUsage"": 0.004598704, ""CreateTimestamp"": 1774094225636, ""FinishTimestamp"": 1774094225640, ""Side"": ""BUY"", ""Type"": ""MARKET"", ""StopType"": ""GTC"", ""Price"": 89.94, ""Quantity"": 23, ""FilledQuantity"": 23, ""FilledAverPrice"": 89.94, ""CoinChange"": 23, ""UnitChange"": 2068.62, ""CommissionCoin"": ""USD"", ""CommissionChargeValue"": 2.06862, ""CommissionPercent"": 0.001, ""OrderWalletType"": ""SPOT"", ""OrderSource"": ""PUBLIC_API""}}"
