timestamp,open,high,low,close,volume
2025-12-04 08:00:00,90990.23,99000.0,90990.23,99000.0,0.01015
2025-12-04 08:05:00,93888.0,93888.0,93081.75,93386.0,0.00551
2025-12-04 08:10:00,93586.0,93586.0,93306.0,93306.0,0.00795
2025-12-04 08:15:00,93306.0,93306.0,93306.0,93306.0,0.0
2025-12-04 08:20:00,93227.98,93227.98,93227.98,93227.98,0.00021
2025-12-04 08:25:00,93226.17,93241.93,93174.88,93175.05,0.0141
2025-12-04 08:30:00,93125.13,93182.61,93077.14,93182.61,0.02669
2025-12-04 08:35:00,93182.61,93182.61,93182.61,93182.61,0.0
2025-12-04 08:40:00,93182.61,93182.61,93182.61,93182.61,0.0
2025-12-04 08:45:00,93182.61,93182.61,93182.61,93182.61,0.0
2025-12-04 08:50:00,93182.61,93182.61,93182.61,93182.61,0.0
2025-12-04 08:55:00,93182.61,93182.61,93182.61,93182.61,0.0
2025-12-04 09:00:00,93182.61,93182.61,93182.61,93182.61,0.0
2025-12-04 09:05:00,93182.61,93182.61,93182.61,93182.61,0.0
2025-12-04 09:10:00,93428.3,93428.3,93428.06,93428.06,0.00188
2025-12-04 09:15:00,93379.45,93379.45,93319.19,93321.69,0.0094
2025-12-04 09:20:00,93321.69,93321.69,93321.69,93321.69,0.0
2025-12-04 09:25:00,93398.23,93398.23,93385.73,93385.73,0.00188
2025-12-04 09:30:00,93492.24,93494.58,93492.24,93494.58,0.00188
2025-12-04 09:35:00,93494.58,93494.58,93494.58,93494.58,0.0
2025-12-04 09:40:00,93494.58,93494.58,93494.58,93494.58,0.0
2025-12-04 09:45:00,93464.06,93493.28,93464.06,93481.13,0.00499
2025-12-04 09:50:00,93481.13,93481.13,93481.13,93481.13,0.0
2025-12-04 09:55:00,93512.7,93512.7,93512.7,93512.7,0.00188
2025-12-04 10:00:00,93574.12,93574.12,93569.96,93569.96,0.00188
2025-12-04 10:05:00,93569.96,93569.96,93569.96,93569.96,0.0
2025-12-04 10:10:00,93569.96,93569.96,93569.96,93569.96,0.0
2025-12-04 10:15:00,93569.96,93569.96,93569.96,93569.96,0.0
2025-12-04 10:20:00,93569.96,93569.96,93569.96,93569.96,0.0
2025-12-04 10:25:00,93569.96,93569.96,93569.96,93569.96,0.0
