Open-time,Open,High,Low,Close,Volume,Close-time,Quote-asset-volume,Number-of-trades,Taker-buy-base-asset-volume,Taker-buy-quote-asset-volume,Ignore
1769904000000000,78744.33,78823.94,78744.32,78796.6,0.00924,1769904299999999,727.830574,7,0.00634,499.4720401,0
1769904300000000,78877.14,79012.53,78870.16,79012.53,0.02962,1769904599999999,2336.1631952,4,0.00203,160.1300715,0
1769904600000000,79100.34,79288.25,79076.16,79288.25,0.27594,1769904899999999,21854.0825354,38,0.2188,17328.8773025,0
1769904900000000,79246.62,79344.22,79136.79,79250.28,0.21344,1769905199999999,16917.0648979,34,0.15352,12169.5414643,0
1769905200000000,79212.06,79212.06,78933.79,78935.95,0.1786,1769905499999999,14126.7019868,15,0.09589,7578.1902189,0
1769905500000000,78963.4,79093.32,78929.84,79083.5,0.03907,1769905799999999,3086.9448294,18,0.00476,376.0806676,0
1769905800000000,79162.32,79163.07,78935.47,78977.55,0.02174,1769906099999999,1717.861579,12,0.02055,1623.8292175,0
1769906100000000,78987.4,78987.4,78755.97,78755.97,0.06774,1769906399999999,5338.8472061,10,0.05397,4254.1145493,0
1769906400000000,78726.63,78779.53,78726.63,78749.49,0.00759,1769906699999999,597.7263849,5,0.00063,49.6121787,0
1769906700000000,78829.58,78921.73,78805.53,78904.8,0.00239,1769906999999999,188.5463183,4,0.00178,140.4521129,0
1769907000000000,78926.48,79019.88,78921.68,78956.9,0.0529,1769907299999999,4177.9401799,11,0.047,3712.1751742,0
1769907300000000,78930.4,78930.4,78851.75,78851.75,0.00262,1769907599999999,206.6883245,3,0.00123,97.084392,0
1769907600000000,78772.1,78772.1,78692.12,78692.12,0.0022,1769907899999999,173.2343038,6,0.0006,47.26326,0
1769907900000000,78669.51,78694.45,78582.48,78582.48,0.08876,1769908199999999,6982.6540862,23,0.04989,3925.1129704,0
1769908200000000,78598.89,78598.89,78487.68,78526.85,0.01776,1769908499999999,1394.7230781,5,0.0175,1374.310651,0
1769908500000000,78619.7,78619.7,78371.37,78392.09,0.02101,1769908799999999,1649.2398597,14,0.0,0.0,0
1769908800000000,78437.61,78454.59,78437.61,78454.59,0.00538,1769909099999999,422.0787324,2,0.00497,389.9193123,0
1769909100000000,78557.56,78787.77,78557.56,78787.77,0.01403,1769909399999999,1102.6147485,7,0.01329,1044.3117987,0
1769909400000000,78770.01,78775.42,78631.36,78631.36,0.00145,1769909699999999,114.1622429,11,0.0,0.0,0
1769909700000000,78636.57,78636.57,78486.74,78486.74,0.02108,1769909999999999,1656.014958,6,0.01272,999.3997152,0
1769910000000000,78407.95,78407.95,78249.99,78289.12,0.01242,1769910299999999,972.4928994,9,0.00131,102.6981081,0
1769910300000000,78308.92,78353.69,78288.15,78353.69,0.00948,1769910599999999,742.6495765,4,0.00922,722.2946575,0
1769910600000000,78412.15,78458.74,78412.15,78421.58,0.00225,1769910899999999,176.4637409,5,0.00225,176.4637409,0
1769910900000000,78421.58,78421.58,78421.58,78421.58,0.0,1769911199999999,0.0,0,0.0,0.0,0
1769911200000000,78517.78,78517.78,78319.43,78319.43,0.03709,1769911499999999,2906.980706,10,0.02,1567.3863005,0
1769911500000000,78366.42,78417.11,78366.42,78417.11,0.0006,1769911799999999,47.0293338,3,0.00018,14.1150798,0
