,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,signal,order_id,order_status,filled_price,filled_quantity,execution_cost
0,90990.23,99000.0,90990.23,99000.0,0.01015,2025-12-04 08:04:59.999999,1004.3694138,2,0.01015,1004.3694138,0,,,,,
1,93888.0,93888.0,93081.75,93386.0,0.00551,2025-12-04 08:09:59.999999,514.792495,4,0.0,0.0,0,,,,,
2,93586.0,93586.0,93306.0,93306.0,0.00795,2025-12-04 08:14:59.999999,742.4167,5,0.0,0.0,0,,,,,
3,93306.0,93306.0,93306.0,93306.0,0.0,2025-12-04 08:19:59.999999,0.0,0,0.0,0.0,0,,,,,
4,93227.98,93227.98,93227.98,93227.98,0.00021,2025-12-04 08:24:59.999999,19.5778758,1,0.00021,19.5778758,0,,,,,
5,93226.17,93241.93,93174.88,93175.05,0.0141,2025-12-04 08:29:59.999999,1314.3804646,15,0.0141,1314.3804646,0,,,,,
6,93125.13,93182.61,93077.14,93182.61,0.02669,2025-12-04 08:34:59.999999,2486.0886469,29,0.02669,2486.0886469,0,,,,,
7,93182.61,93182.61,93182.61,93182.61,0.0,2025-12-04 08:39:59.999999,0.0,0,0.0,0.0,0,,,,,
8,93182.61,93182.61,93182.61,93182.61,0.0,2025-12-04 08:44:59.999999,0.0,0,0.0,0.0,0,,,,,
9,93182.61,93182.61,93182.61,93182.61,0.0,2025-12-04 08:49:59.999999,0.0,0,0.0,0.0,0,,,,,
10,93182.61,93182.61,93182.61,93182.61,0.0,2025-12-04 08:54:59.999999,0.0,0,0.0,0.0,0,,,,,
11,93182.61,93182.61,93182.61,93182.61,0.0,2025-12-04 08:59:59.999999,0.0,0,0.0,0.0,0,,,,,
12,93182.61,93182.61,93182.61,93182.61,0.0,2025-12-04 09:04:59.999999,0.0,0,0.0,0.0,0,,,,,
13,93182.61,93182.61,93182.61,93182.61,0.0,2025-12-04 09:09:59.999999,0.0,0,0.0,0.0,0,,,,,
14,93428.3,93428.3,93428.06,93428.06,0.00188,2025-12-04 09:14:59.999999,175.6449784,2,0.00188,175.6449784,0,,,,,
15,93379.45,93379.45,93319.19,93321.69,0.0094,2025-12-04 09:19:59.999999,877.653213,11,0.0094,877.653213,0,,,,,
16,93321.69,93321.69,93321.69,93321.69,0.0,2025-12-04 09:24:59.999999,0.0,0,0.0,0.0,0,,,,,
17,93398.23,93398.23,93385.73,93385.73,0.00188,2025-12-04 09:29:59.999999,175.5769224,2,0.00188,175.5769224,0,,,,,
18,93492.24,93494.58,93492.24,93494.58,0.00188,2025-12-04 09:34:59.999999,175.7676682,3,0.00188,175.7676682,0,,,,,
19,93494.58,93494.58,93494.58,93494.58,0.0,2025-12-04 09:39:59.999999,0.0,0,0.0,0.0,0,,,,,
20,93494.58,93494.58,93494.58,93494.58,0.0,2025-12-04 09:44:59.999999,0.0,0,0.0,0.0,0,,,,,
21,93464.06,93493.28,93464.06,93481.13,0.00499,2025-12-04 09:49:59.999999,466.4663838,7,0.00388,362.7023295,0,,,,,
22,93481.13,93481.13,93481.13,93481.13,0.0,2025-12-04 09:54:59.999999,0.0,0,0.0,0.0,0,,,,,
23,93512.7,93512.7,93512.7,93512.7,0.00188,2025-12-04 09:59:59.999999,175.803876,2,0.00188,175.803876,0,,,,,
24,93574.12,93574.12,93569.96,93569.96,0.00188,2025-12-04 10:04:59.999999,175.9154352,2,0.00188,175.9154352,0,,,,,
25,93569.96,93569.96,93569.96,93569.96,0.0,2025-12-04 10:09:59.999999,0.0,0,0.0,0.0,0,,,,,
26,93569.96,93569.96,93569.96,93569.96,0.0,2025-12-04 10:14:59.999999,0.0,0,0.0,0.0,0,,,,,
27,93569.96,93569.96,93569.96,93569.96,0.0,2025-12-04 10:19:59.999999,0.0,0,0.0,0.0,0,,,,,
28,93569.96,93569.96,93569.96,93569.96,0.0,2025-12-04 10:24:59.999999,0.0,0,0.0,0.0,0,,,,,
29,93569.96,93569.96,93569.96,93569.96,0.0,2025-12-04 10:29:59.999999,0.0,0,0.0,0.0,0,,,,,
30,93569.96,93569.96,93569.96,93569.96,0.0,2025-12-04 10:34:59.999999,0.0,0,0.0,0.0,0,,,,,
31,93569.96,93569.96,93569.96,93569.96,0.0,2025-12-04 10:39:59.999999,0.0,0,0.0,0.0,0,,,,,
32,93235.36,93235.36,93235.36,93235.36,0.0001,2025-12-04 10:44:59.999999,9.323536,1,0.0,0.0,0,,,,,
33,93235.36,93235.36,93235.36,93235.36,0.0,2025-12-04 10:49:59.999999,0.0,0,0.0,0.0,0,,,,,
34,93241.52,93241.52,93241.52,93241.52,9e-05,2025-12-04 10:54:59.999999,8.3917368,1,9e-05,8.3917368,0,,,,,
35,93275.87,93532.51,93182.61,93182.61,0.00213,2025-12-04 10:59:59.999999,198.7286771,4,0.00107,99.9412001,0,,,,,
36,93182.61,93182.61,93182.61,93182.61,0.0,2025-12-04 11:04:59.999999,0.0,0,0.0,0.0,0,,,,,
37,93293.58,93293.58,93293.58,93293.58,5e-05,2025-12-04 11:09:59.999999,4.664679,1,5e-05,4.664679,0,,,,,
38,93262.19,93262.19,93262.19,93262.19,0.00017,2025-12-04 11:14:59.999999,15.8545723,1,0.00017,15.8545723,0,,,,,
39,93202.36,93202.36,92854.69,92854.69,0.00708,2025-12-04 11:19:59.999999,659.2188718,4,0.0,0.0,0,,,,,
